engine_id,true_rul_cycles,risk_band,priority
1,112,HEALTHY,4
2,98,HEALTHY,4
3,69,WATCH,3
4,82,WATCH,3
5,91,HEALTHY,4
6,93,HEALTHY,4
7,91,HEALTHY,4
8,95,HEALTHY,4
9,111,HEALTHY,4
10,96,HEALTHY,4
11,97,HEALTHY,4
12,124,HEALTHY,4
13,95,HEALTHY,4
14,107,HEALTHY,4
15,83,WATCH,3
16,84,WATCH,3
17,50,HIGH,2
18,28,CRITICAL,1
19,87,WATCH,3
20,16,CRITICAL,1
21,57,HIGH,2
22,111,HEALTHY,4
23,113,HEALTHY,4
24,20,CRITICAL,1
25,145,HEALTHY,4
26,119,HEALTHY,4
27,66,WATCH,3
28,97,HEALTHY,4
29,90,WATCH,3
30,115,HEALTHY,4
31,8,CRITICAL,1
32,48,HIGH,2
33,106,HEALTHY,4
34,7,CRITICAL,1
35,11,CRITICAL,1
36,19,CRITICAL,1
37,21,CRITICAL,1
38,50,HIGH,2
39,142,HEALTHY,4
40,28,CRITICAL,1
41,18,CRITICAL,1
42,10,CRITICAL,1
43,59,HIGH,2
44,109,HEALTHY,4
45,114,HEALTHY,4
46,47,HIGH,2
47,135,HEALTHY,4
48,92,HEALTHY,4
49,21,CRITICAL,1
50,79,WATCH,3
51,114,HEALTHY,4
52,29,CRITICAL,1
53,26,CRITICAL,1
54,97,HEALTHY,4
55,137,HEALTHY,4
56,15,CRITICAL,1
57,103,HEALTHY,4
58,37,HIGH,2
59,114,HEALTHY,4
60,100,HEALTHY,4
61,21,CRITICAL,1
62,54,HIGH,2
63,72,WATCH,3
64,28,CRITICAL,1
65,128,HEALTHY,4
66,14,CRITICAL,1
67,77,WATCH,3
68,8,CRITICAL,1
69,121,HEALTHY,4
70,94,HEALTHY,4
71,118,HEALTHY,4
72,50,HIGH,2
73,131,HEALTHY,4
74,126,HEALTHY,4
75,113,HEALTHY,4
76,10,CRITICAL,1
77,34,HIGH,2
78,107,HEALTHY,4
79,63,WATCH,3
80,90,WATCH,3
81,8,CRITICAL,1
82,9,CRITICAL,1
83,137,HEALTHY,4
84,58,HIGH,2
85,118,HEALTHY,4
86,89,WATCH,3
87,116,HEALTHY,4
88,115,HEALTHY,4
89,136,HEALTHY,4
90,28,CRITICAL,1
91,38,HIGH,2
92,20,CRITICAL,1
93,85,WATCH,3
94,55,HIGH,2
95,128,HEALTHY,4
96,137,HEALTHY,4
97,82,WATCH,3
98,59,HIGH,2
99,117,HEALTHY,4
100,20,CRITICAL,1
